No.         Dado1       Dado2       Total       
1           3           3           6           
2           6           6           12          
3           4           3           7           
4           4           3           7           
5           4           6           10          
6           4           5           9           
1           6           2           8           
2           2           4           6           
3           4           4           8           
4           6           5           11          
5           3           6           9           
1           3           4           7           
2           1           3           4           
3           4           1           5           
4           4           6           10          
5           5           1           6           
6           5           3           8           
7           3           3           6           
8           3           4           7           
9           6           3           9           
10          1           3           4           
1           6           2           8           
2           2           5           7           
3           5           4           9           
4           6           2           8           
5           3           2           5           
6           4           2           6           
1           3           3           6           
2           1           4           5           
3           1           1           2           
4           3           5           8           
5           5           2           7           
6           5           3           8           
7           6           1           7           
8           3           3           6           
9           2           1           3           
1           6           3           9           
2           3           4           7           
3           3           2           5           
4           4           4           8           
5           3           5           8           
